Census year,CLUE small area,ANZSIC indusrty,Business size,Total establishments,Total jobs
2004,Melbourne (Remainder),Wholesale Trade,Small business,3,12
2004,North Melbourne,"Agriculture, Forestry and Fishing",Small business,1,
2004,North Melbourne,Arts and Recreation Services,Small business,15,63
2004,North Melbourne,Education and Training,Small business,9,53
2004,North Melbourne,Manufacturing,Medium business,8,238
2004,North Melbourne,Manufacturing,Non employing,2,
2004,North Melbourne,Mining,Small business,1,
2004,North Melbourne,Other Services,Small business,112,526
2004,North Melbourne,"Professional, Scientific and Technical Services",Medium business,15,618
2004,North Melbourne,"Rental, Hiring and Real Estate Services",Small business,17,109
2004,North Melbourne,Retail Trade,Small business,90,355
2004,North Melbourne,Wholesale Trade,Small business,57,317
2004,Parkville,Accommodation and Food Services,Medium business,11,421
2004,Parkville,Accommodation and Food Services,Small business,37,270
2004,Parkville,Arts and Recreation Services,Non employing,13,0
2004,Parkville,Arts and Recreation Services,Small business,5,35
2004,Parkville,Health Care and Social Assistance,Medium business,2,
2004,Parkville,Manufacturing,Small business,2,
2004,Parkville,Other Services,Medium business,2,
2004,Parkville,"Professional, Scientific and Technical Services",Large business,1,
2004,Parkville,"Professional, Scientific and Technical Services",Medium business,3,316
2004,Parkville,"Professional, Scientific and Technical Services",Small business,9,65
2004,Parkville,Public Administration and Safety,Large business,1,
2004,Parkville,Retail Trade,Small business,17,83
2004,Port Melbourne,Administrative and Support Services,Small business,9,66
2004,Port Melbourne,Arts and Recreation Services,Non employing,5,0
2004,Port Melbourne,Education and Training,Large business,1,
2004,Port Melbourne,Information Media and Telecommunications,Non employing,1,
2004,Port Melbourne,"Professional, Scientific and Technical Services",Medium business,11,584
2004,Port Melbourne,Public Administration and Safety,Medium business,1,
2004,Port Melbourne,"Rental, Hiring and Real Estate Services",Medium business,1,
2004,Port Melbourne,"Rental, Hiring and Real Estate Services",Small business,3,13
2004,Port Melbourne,Retail Trade,Medium business,2,
2004,Port Melbourne,Retail Trade,Small business,11,84
2004,Port Melbourne,"Transport, Postal and Warehousing",Medium business,4,256
2004,Port Melbourne,"Transport, Postal and Warehousing",Non employing,3,0
2004,Port Melbourne,"Transport, Postal and Warehousing",Small business,13,115
2004,South Yarra,Accommodation and Food Services,Non employing,1,
2004,South Yarra,Education and Training,Non employing,3,0
2004,South Yarra,Health Care and Social Assistance,Small business,4,29
2004,South Yarra,Information Media and Telecommunications,Small business,1,
2004,South Yarra,"Professional, Scientific and Technical Services",Small business,3,9
2004,Southbank,Accommodation and Food Services,Large business,1,
2004,Southbank,Accommodation and Food Services,Small business,58,490
2004,Southbank,"Agriculture, Forestry and Fishing",Medium business,2,
2004,Southbank,Arts and Recreation Services,Large business,5,9796
2004,Southbank,Arts and Recreation Services,Non employing,8,0
2004,Southbank,Education and Training,Large business,2,
2004,Southbank,"Electricity, Gas, Water and Waste Services",Non employing,18,0
2004,Southbank,"Electricity, Gas, Water and Waste Services",Small business,1,
2004,Southbank,Financial and Insurance Services,Medium business,7,382
2004,Southbank,Information Media and Telecommunications,Large business,4,3114
2004,Southbank,Mining,Small business,3,19
2004,Southbank,Other Services,Medium business,4,116
2004,Southbank,Other Services,Non employing,5,0
2004,Southbank,Other Services,Small business,41,197
2004,Southbank,"Professional, Scientific and Technical Services",Small business,52,414
2004,Southbank,Public Administration and Safety,Medium business,6,238
2004,Southbank,"Rental, Hiring and Real Estate Services",Large business,1,
2004,Southbank,"Rental, Hiring and Real Estate Services",Medium business,2,
2004,Southbank,"Transport, Postal and Warehousing",Non employing,1,
2004,West Melbourne (Industrial),Administrative and Support Services,Small business,4,24
2004,West Melbourne (Industrial),Arts and Recreation Services,Non employing,6,0
2004,West Melbourne (Industrial),Arts and Recreation Services,Small business,1,
2004,West Melbourne (Industrial),Construction,Non employing,1,
2004,West Melbourne (Industrial),"Electricity, Gas, Water and Waste Services",Small business,2,
2004,West Melbourne (Industrial),"Professional, Scientific and Technical Services",Small business,3,19
2004,West Melbourne (Industrial),"Rental, Hiring and Real Estate Services",Small business,14,58
2004,West Melbourne (Industrial),Retail Trade,Medium business,1,
2004,West Melbourne (Industrial),Retail Trade,Small business,6,34
2004,West Melbourne (Industrial),Wholesale Trade,Medium business,31,1113
2004,West Melbourne (Residential),Accommodation and Food Services,Small business,46,271
2004,West Melbourne (Residential),Administrative and Support Services,Medium business,5,251
2004,West Melbourne (Residential),Administrative and Support Services,Non employing,1,
2004,West Melbourne (Residential),Arts and Recreation Services,Large business,1,
2004,West Melbourne (Residential),Arts and Recreation Services,Non employing,7,0
2004,West Melbourne (Residential),"Electricity, Gas, Water and Waste Services",Small business,1,
2004,West Melbourne (Residential),Financial and Insurance Services,Medium business,3,102
2004,West Melbourne (Residential),Financial and Insurance Services,Small business,14,51
2004,West Melbourne (Residential),Information Media and Telecommunications,Medium business,4,157
2004,West Melbourne (Residential),Manufacturing,Small business,30,172
2004,West Melbourne (Residential),Mining,Small business,1,
2004,West Melbourne (Residential),Other Services,Non employing,6,0
2004,West Melbourne (Residential),"Professional, Scientific and Technical Services",Non employing,2,
2004,West Melbourne (Residential),"Professional, Scientific and Technical Services",Small business,80,412
2004,West Melbourne (Residential),Public Administration and Safety,Small business,4,17
2004,West Melbourne (Residential),"Rental, Hiring and Real Estate Services",Medium business,1,
2004,West Melbourne (Residential),"Rental, Hiring and Real Estate Services",Small business,6,26
2004,West Melbourne (Residential),Retail Trade,Medium business,4,224
2004,West Melbourne (Residential),"Transport, Postal and Warehousing",Non employing,1,
2004,West Melbourne (Residential),Wholesale Trade,Medium business,6,210
2005,Carlton,Accommodation and Food Services,Non employing,7,0
2005,Carlton,Administrative and Support Services,Medium business,4,105
2005,Carlton,Administrative and Support Services,Small business,31,178
2005,Carlton,Construction,Medium business,5,196
2005,Carlton,Construction,Small business,6,35
2005,Carlton,Education and Training,Non employing,4,0
2005,Carlton,Education and Training,Small business,37,278
2005,Carlton,Financial and Insurance Services,Medium business,7,352
2005,Carlton,Health Care and Social Assistance,Large business,3,3052
2005,Carlton,Information Media and Telecommunications,Small business,16,107
2005,Carlton,Other Services,Non employing,12,0
2005,Carlton,Public Administration and Safety,Small business,9,31
2005,Carlton,"Rental, Hiring and Real Estate Services",Small business,20,103
2005,Carlton,Retail Trade,Medium business,8,378
2005,Carlton,Retail Trade,Non employing,3,0
2005,Carlton,"Transport, Postal and Warehousing",Non employing,3,0
2005,Carlton,"Transport, Postal and Warehousing",Small business,7,39
2005,Docklands,Accommodation and Food Services,Medium business,14,700
2005,Docklands,Administrative and Support Services,Medium business,3,283
2005,Docklands,Construction,Non employing,1,
2005,Docklands,"Electricity, Gas, Water and Waste Services",Non employing,6,0
2005,Docklands,Financial and Insurance Services,Medium business,1,
2005,Docklands,"Professional, Scientific and Technical Services",Small business,34,161
2005,Docklands,Public Administration and Safety,Large business,2,
2005,Docklands,"Rental, Hiring and Real Estate Services",Small business,13,72
2005,Docklands,"Transport, Postal and Warehousing",Large business,1,
2005,East Melbourne,Arts and Recreation Services,Large business,1,
2005,East Melbourne,Construction,Small business,3,23
2005,East Melbourne,Education and Training,Medium business,10,681
2005,East Melbourne,Financial and Insurance Services,Medium business,5,445
2005,East Melbourne,Financial and Insurance Services,Small business,5,34
2005,East Melbourne,Manufacturing,Small business,4,8
2005,East Melbourne,Other Services,Non employing,6,0
2005,East Melbourne,Public Administration and Safety,Large business,6,3076
2005,East Melbourne,Public Administration and Safety,Non employing,2,
2005,East Melbourne,Retail Trade,Non employing,2,
2005,East Melbourne,Retail Trade,Small business,16,69
2005,East Melbourne,Wholesale Trade,Medium business,2,
2005,Kensington,Accommodation and Food Services,Small business,10,59
2005,Kensington,Administrative and Support Services,Small business,2,
2005,Kensington,Arts and Recreation Services,Large business,1,
2005,Kensington,Arts and Recreation Services,Non employing,40,0
2005,Kensington,Arts and Recreation Services,Small business,11,83
2005,Kensington,Health Care and Social Assistance,Medium business,2,
2005,Kensington,Manufacturing,Medium business,9,373
2005,Kensington,Manufacturing,Non employing,1,
2005,Kensington,Other Services,Non employing,1,
2005,Kensington,Public Administration and Safety,Non employing,1,
2005,Kensington,Wholesale Trade,Small business,16,125
2005,Melbourne (CBD),Accommodation and Food Services,Large business,5,1669
2005,Melbourne (CBD),Accommodation and Food Services,Medium business,166,7186
2005,Melbourne (CBD),"Agriculture, Forestry and Fishing",Medium business,2,
2005,Melbourne (CBD),"Agriculture, Forestry and Fishing",Small business,7,13
2005,Melbourne (CBD),Arts and Recreation Services,Medium business,19,1271
2005,Melbourne (CBD),Arts and Recreation Services,Non employing,10,0
2005,Melbourne (CBD),Arts and Recreation Services,Small business,71,367
2005,Melbourne (CBD),Construction,Large business,1,
2005,Melbourne (CBD),Education and Training,Non employing,4,0
2005,Melbourne (CBD),Education and Training,Small business,122,821
2005,Melbourne (CBD),"Electricity, Gas, Water and Waste Services",Medium business,6,364
2005,Melbourne (CBD),"Electricity, Gas, Water and Waste Services",Non employing,33,0
2005,Melbourne (CBD),Financial and Insurance Services,Medium business,139,7582
2005,Melbourne (CBD),Health Care and Social Assistance,Small business,331,1634
2005,Melbourne (CBD),Information Media and Telecommunications,Medium business,46,2769
2005,Melbourne (CBD),"Professional, Scientific and Technical Services",Non employing,4,0
2005,Melbourne (CBD),"Professional, Scientific and Technical Services",Small business,1211,7184
2005,Melbourne (CBD),Public Administration and Safety,Non employing,2,
2005,Melbourne (CBD),"Rental, Hiring and Real Estate Services",Medium business,21,1048
2005,Melbourne (CBD),"Rental, Hiring and Real Estate Services",Non employing,9,0
